Rank,Cluster,Negative_Count,Total_Count,Percentage
1,Infrastruktur jalan,1085,1138,95.3427065
2,Parkir liar,1386,1571,88.22406111
3,Pelayanan pasien BPJS,4089,4649,87.9543988
4,Kesejahteraan guru,4189,5529,75.76415265
5,Kebijakan pajak,1338,1850,72.32432432
6,Kebijakan kurikulum pendidikan,1740,3036,57.31225296
7,Peran dan kinerja DPR,1350,3219,41.93849021
