cluster,total_count,cluster_name,negative,neutral,positive,negative_percentage
1,5196,Guru Honorer,4023,0,1173,77.42
2,4674,BPJS,4109,10,555,87.91
3,3900,Anak,3114,10,776,79.85
4,67242,Uang Sekolah,56545,112,10585,84.09
5,1948,Menteri Pendidikan,849,2,1097,43.58
